Employee_ID,Join_Date,Department,City,Level,Age,Salary,Experience_Years,Projects_Completed,Performance_Rating,Satisfaction_Score,Training_Hours,Monthly_Overtime,Left_Company
1001,2020-05-10,Finance,Hyderabad,Senior,46,62213.74,2,9,B,8.4,20.2,7.7,False
1002,2021-07-18,Sales,Hyderabad,Mid,50,55990.0,15,37,C,7.8,56.5,5.7,True
1003,2021-02-04,Sales,Bangalore,Junior,52,80264.25,8,10,C,1.5,24.2,27.7,False
1004,2020-12-31,Marketing,Hyderabad,Senior,44,87812.49,7,36,C,1.1,21.3,5.0,True
1005,2022-06-27,Support,Kolkata,Mid,41,66980.63,19,37,B,,109.2,7.0,False
1006,2023-12-10,HR,Pune,Junior,44,74934.96,12,28,C,7.0,,22.3,False
1007,2019-04-12,Engineering,Pune,Manager,37,93654.69,16,28,B,4.7,,10.0,False
1008,2021-05-23,Marketing,Mumbai,Senior,29,65995.16,16,21,D,4.6,35.1,1.6,False
1009,2018-11-27,Marketing,Pune,Senior,42,82558.34,16,24,C,9.0,139.4,10.3,True
1010,2022-01-22,HR,Ahmedabad,Lead,22,33518.88,0,2,C,9.1,19.0,5.2,False
1011,2023-11-06,Engineering,Pune,Mid,29,43967.03,7,8,A,9.2,2.6,2.1,False
1012,2018-05-11,Finance,Bangalore,Lead,50,90138.49,18,27,C,3.8,16.6,5.4,False
1013,2022-08-13,Operations,Pune,Mid,53,,5,22,A,7.2,28.2,3.2,False
1014,2020-02-09,Support,Mumbai,Junior,26,80853.44,2,37,B,3.4,7.1,4.2,False
1015,2024-07-19,Operations,Delhi,Mid,43,71325.03,4,27,A,2.7,42.9,9.9,True
1016,2022-02-24,Finance,Kolkata,Mid,55,65888.32,12,29,C,2.7,243.9,2.4,False
1017,2024-08-30,R&D,Bangalore,Senior,22,54288.43,14,3,B,4.1,24.0,15.8,False
1018,2021-04-30,Marketing,Ahmedabad,Junior,47,97733.5,13,13,B,4.9,17.5,6.5,False
1019,2020-08-13,Engineering,Delhi,Junior,31,118247.28,22,10,D,8.5,20.5,4.5,False
1020,2024-05-13,Marketing,Bangalore,Junior,51,82504.8,15,36,B,,4.9,6.5,True
1021,2021-03-30,Sales,Chennai,Junior,39,83062.27,17,9,C,7.6,85.9,3.2,False
1022,2019-04-05,Marketing,Hyderabad,Senior,38,57941.73,21,27,B,5.8,,3.2,True
1023,2018-01-22,Marketing,Chennai,Junior,47,45097.57,21,34,A,3.6,19.6,6.1,False
1024,2024-04-19,Finance,Pune,Senior,29,74006.53,10,1,D,5.4,43.1,10.3,False
1025,2020-01-18,Finance,Delhi,Mid,33,50656.26,2,32,A,3.7,23.3,11.9,False
1026,2019-04-20,Finance,Pune,Senior,48,30684.75,21,25,C,6.4,41.8,5.7,False
1027,2020-12-18,Operations,Hyderabad,Lead,29,95086.15,9,29,C,4.9,2.5,7.1,False
1028,2023-08-10,Sales,Bangalore,Mid,46,96304.17,9,7,,2.5,67.2,9.8,False
1029,2020-09-02,R&D,Hyderabad,Lead,25,53529.03,20,3,C,,112.9,23.1,False
1030,2022-12-12,R&D,Mumbai,Mid,54,81099.11,15,20,B,5.9,41.9,8.8,True
1031,2018-07-09,Finance,Hyderabad,Mid,22,100048.81,11,20,A,9.1,123.7,4.9,False
1032,2019-07-17,Engineering,Mumbai,Director,40,80125.67,1,30,C,4.1,6.6,3.8,False
1033,2023-03-15,Operations,Hyderabad,Junior,52,45171.13,8,35,C,7.6,26.0,15.9,False
1034,2021-06-21,HR,,Junior,37,69177.66,23,35,D,6.9,36.8,0.6,False
1035,2022-03-09,Engineering,Mumbai,Lead,35,108170.24,2,39,D,9.4,34.9,5.4,False
1036,2019-10-09,Support,Delhi,Junior,26,81175.67,23,27,D,8.4,20.5,3.8,False
1037,2023-08-31,Support,Pune,Lead,47,88478.3,24,26,C,6.1,16.5,14.5,False
